lat,long,Name,Description,Icon
43.23093333,-75.88416667,Cleveland start,Cleveland,185
43.24601667,-75.9952,Constantia start,Constantia,175
43.18166667,-75.9848,Fisher Bay start,Fisher Bay,175
43.22038333,-75.81223333,Jewell start,Jewell,185
43.19995,-76.07263333,Lower South Bay start,Lower South Bay,185
43.24508333,-76.09171667,Poddygut Bay start,Poddygut Bay,175
43.1727,-75.9295,Shackelton Point Swimming area start,Shackelton Point,175
43.16551667,-75.75975,South Bay Sailboat Marina start,South Bay,175
43.23851667,-75.9213,Cleveland end,Cleveland,165
43.24453333,-75.95286667,Constantia end,Constantia,165
43.17456667,-75.94496667,Fisher Bay end,Fisher Bay,175
43.22393333,-75.8417,Jewell end,Jewell,175
43.21306667,-76.07493333,Lower South Bay end,Lower South Bay,165
43.24856667,-76.10753333,Poddygut Bay end,Poddygut Bay,165
43.15783333,-75.90006667,Shackelton Point Swimming area end,Shackelton Point,165
43.16618333,-75.73925,South Bay Sailboat Marina end,South Bay,165
